title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context
Bayangol Park,"Bayangol Park, located in the Bayangol district of Ulaanbaatar, Mongolia, was established in 2014 and is ongoing. The park aims to become an eco-park, reducing air pollution, safeguarding freshwater resources, increasing green areas, and educating residents about environmental issues. The project includes planting trees, creating recreational areas, and providing environmental education.",ongoing,"Bayangol district, Ulaanbaatar",Mongolia,neighborhood,"['urban forests', 'community gardens and allotments', 'riverbank/lakeside greens']","['climate change mitigation', 'air quality improvement', 'habitat and biodiversity conservation', 'green space creation and/or management', 'improvements to water quality', 'enabling opportunities for physical activity', 'creation of opportunities for recreation', 'environmental education', 'economic development: agriculture', 'employment/job creation']","['reduced air pollution', 'increased physical activity', 'recreation opportunities']","['increased green space area', 'increased number of species present', 'increase of green jobs', 'increase in agricultural production', 'improved access to urban green space', 'increased visibility and opportunity for marginalised groups or indigenous peoples', 'increased access to healthy/affordable food', 'gain in activities for recreation and exercise', 'improvement in people’s connection to nature', 'increased appreciation for natural spaces', 'increased support for education and scientific research', 'increased awareness of nbs and their benefits']","Bayangol park is an industrial estate administrated by the Assembly of Citizens' of Bayangol District. The planting of trees initiative involved more than 7,000 personnel from more than 400 divisions of the Ministry of Culture as part of the '1 billion trees' nationwide movement. The nationwide 'One Billion Trees' program is carried out under the direct supervision of the Office of the President and the Ministry of Environment and Tourism. The Department of Food and Agriculture of the Capital has started a new project to build a vegetable greenhouse in Bayangol Park.",unknown,urban
Bayou La Batre Green Stormwater Project,"The Nature Conservancy has secured funding to install a green stormwater project in Bayou La Batre, Alabama, to address severe flooding problems. The project involves the installation of infrastructure that allows for the infiltration of water to reduce flooding events and prevent combined sewerage overflows. It also serves educational and engagement purposes, aiming to become a pilot that could be replicated in other areas of Bayou La Batre.",ongoing,Bayou La Batre,United States,site,"['green stormwater project', 'water infiltration']","['flooding', 'combined sewerage overflows']",[],"['strengthened capacity to address climate hazards/natural disasters', 'enhanced protection against extreme weather events', 'improved water quality', 'increased protection against flooding', 'improved stormwater management', 'enhanced protection and restoration of coastal and marine ecosystems', 'increase of green jobs', 'generation of other type of work opportunities', 'improved liveability', 'increased awareness of nbs and their benefits', 'improved community safety to climate-related hazards']",The Nature Conservancy leads the project; Environmental Protection Agency the funder and partner; engineers on the project; constructor of the project,unknown,urban
BBC Roath Lock Studios,"The project involves the BBC Drama Village, with studios, stores, offices, and technical suites. It aimed to achieve a BREEAM Excellent standard, with eco-design areas including transportation, energy efficiency, water efficiency, materials, indoor environmental quality, waste reduction, and biodiversity. A Living Wall was created for solitary bees, lacewings, and other invertebrates, and a rainwater harvesting system was installed.",completed,Cardiff,United Kingdom,city,"['nature on buildings (external)', 'green walls or facades', 'alley or street trees and other street vegetation', 'green parking lots', 'green areas for water management', 'sustainable urban drainage systems']","['climate change adaptation', 'climate change mitigation', 'water management', 'improvements to water quality', 'green space creation and/or management', 'air quality improvement', 'waste management', 'regulation of built environment', 'conversion of former industrial areas', 'promote natural styles of landscape design for urban development', 'sustainable consumption']",['improved air quality'],"['reduced emissions', 'improved air quality', 'improved waste management', 'improved water quality', 'enhanced protection and restoration of coastal and marine ecosystems', 'increased green space area', 'reduced biodiversity loss', 'increased number of species present', 'enhanced support of pollination', 'increased opportunities for social interaction', 'improved physical health', 'gain in activities for recreation and exercise']","Led by non-government actors, with the BBC Drama Village as the client. The project team included igloo Regeneration, Davis Langdon, Gardiner and Theobald, FAT Architects, HMA, Bay Associates, Arup, LDA Design, and Flint & Neill.",unknown,urban
Beach park in Bremen,"A project developed by the local government with EU and federal funds aimed at the development of the green and beach area in the course of the refurbishment of the flood protection system. The project involves redevelopment of the shore area, enlargement of the public space at the shore with additional sand deposit and greenery planting. The bank area with a beach and recreational facilities opened in May 2019.",completed,Bremen,Germany,neighborhood,"['green space creation', 'flood protection', 'urban development']","['climate change adaptation', 'water management', 'green space creation and/or management', 'regeneration, land-use and urban development']","['enabling opportunities for physical activity', 'creation of opportunities for recreation']","['strengthened capacity to address climate hazards/natural disasters', 'increased protection against flooding', 'increased green space area', 'stimulate development in deprived areas', 'improved access to urban green space', 'increased opportunities for social interaction', 'gain in activities for recreation and exercise']",Local government developed the project proposal and applied for funds from the federal government and the EU for its implementation,unknown,urban
Beddagana Wetland Preservation,"The Beddagana Wetland Park in Sri Jayawardenapura Kotte, Sri Lanka, plays a crucial role in flood regulation and keeping the city cool during periods of extreme heat. The project focuses on the protection of the wetland habitat as a flood-retention area, promoting eco-tourism, and improving livability in the city. It also includes interventions such as enhancing the hydrology of the wetland area, reforestation with endemic plants, and creating recreational spaces.",completed,Sri Jayawardenepura Kotte,Sri Lanka,neighborhood,"['wetland preservation', 'eco-tourism', 'urban cooling', 'flood regulation']","['flooding', 'extreme heat', 'encroachments', 'climate change-induced disaster']","['improved livability', 'recreation and exercise']","['lowered local temperature', 'strengthened capacity to address climate hazards/natural disasters', 'enhanced carbon sequestration', 'improved air quality', 'improved water quality', 'increased protection against flooding', 'improved stormwater management', 'enhanced protection and restoration of freshwater ecosystems', 'increase in protected green space areas', 'increased number of protection areas', 'increased conservation or restoration of ecosystems', 'reduced biodiversity loss', 'increased number of species present', 'increased protection of threatened species', 'improved prevention or control of invasive alien species', 'increase of green jobs', 'more sustainable tourism', 'reduce financial cost for urban management', 'generation of income from nbs', 'improved liveability', 'improved access to urban green space', 'gain in activities for recreation and exercise', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits', 'improved community safety to climate-related hazards']",The project is completely government-led and fits the goals of Metro Colombo Urban Development Project (MCUDP).,unknown,urban
Bee Park in Montentargius,"The Bee Park Molentargius project is located in the Molentargius-Saline Regional Natural Park, in Cagliari. It aims to restore specific areas of the park to their original ecological and productive functions, enhance biodiversity, support sustainable agricultural practices, and promote environmental education. The project includes the creation of shared gardens and an educational apiary, designed to reclaim the park’s identity and encourage local participation in the management and preservation of this important natural resource.",completed,"Molentargius-Saline Regional Natural Park, Cagliari",Italy,neighborhood,"['community gardens and allotments', 'parks and urban forests', 'pocket parks/neighbourhood green spaces']","['green space, habitats and biodiversity', 'habitat and biodiversity conservation', 'environmental education', 'economic development: agriculture', 'sustainable production']",[],"['increased green space area', 'increased conversion of degraded land or soil', 'increased number of species present', 'enhanced support of pollination', 'restoration of derelict areas', 'more sustainable tourism', 'increase in agricultural production', 'improved social cohesion', 'increased involvement of locals in the management of green spaces', 'increased awareness of flora and fauna as culturally and historically meaningful', 'increased knowledge of locals about local nature']","The Bee Park Molentargius project is being led by the park administration, particularly CEAS (Centri di Educazione Ambientale e alla Sostenibilità), which is dedicated to environmental education and sustainability. Additionally, the project is supported and funded by the Autonomous Region of Sardinia and the European Union's Horizon Europe Framework Programme.",unknown,urban
Bee-Friendly Nottingham,"Bee-friendly Nottingham is a campaign run by Nottingham City Council to make Nottingham a more pollinator-friendly city, promote pollinator-friendly gardening at council events and to protect bee populations by planting pollinator-friendly plants. It aims to make lasting changes to the way people manage open spaces to help wild and domestic bees and provide more flowers for foraging and more habitat for nest sites.",ongoing,Nottingham,United Kingdom,city,"['pollinator-friendly gardening', 'pollinator-friendly plants', 'bee-friendly flower beds']","['green space, habitats and biodiversity', 'habitat and biodiversity restoration', 'habitat and biodiversity conservation']",[],"['increased green space area', 'increased conservation or restoration of ecosystems', 'reduced biodiversity loss', 'increased number of species present', 'increased protection of threatened species', 'increased involvement of locals in the management of green spaces', 'increased support for education and scientific research', 'increased knowledge of locals about local nature']",Nottingham City Council,unknown,urban
Beehives on the roofs of the Catholic University of Lublin,"The initiative involves establishing beehives on the roofs of the Catholic University of Lublin and the Centre for the Meetings of Cultures. It aims to provide habitat for bees, aid in pollination, educate society about bees, and promote ecological attitudes. The project also produces honey for sale or free distribution.",ongoing,Catholic University of Lublin,Poland,neighborhood,"['urban nature', 'biodiversity conservation', 'environmental education']","['habitat and biodiversity conservation', 'environmental education', 'sustainable production']",[],"['increased conservation or restoration of ecosystems', 'increased protection of threatened species', 'enhanced support of pollination', 'generation of income from nbs', 'increased access to healthy/affordable food', 'improvement in people’s connection to nature', 'increased support for education and scientific research', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']",The Centre for the Meetings of Cultures and the Catholic University of Lublin developed the project proposal and implemented the project.,unknown,urban
Beekeeping in Audi Hungaria,"The project was initiated by AUDI AG, Audi Hungaria's parent company, in 2015 as part of its flora and fauna protection plan. 6 bee colonies with 270,000 bees were installed, producing 200-240 kilograms of honey each year. The income from the honey is used for nature conservation programmes. The company also cooperates with the University of Sopron in a biomonitoring project which uses the bees as bioindicators of environmental pollution.",completed,Győr,Hungary,neighborhood,"['beekeeping', 'biodiversity conservation', 'environmental education', 'sustainable production']","['habitat and biodiversity conservation', 'environmental education', 'sustainable production']",[],"['increased conservation or restoration of ecosystems', 'increased protection of threatened species', 'enhanced support of pollination', 'generation of income from nbs', 'increased support for education and scientific research', 'increased awareness of nbs and their benefits']",The project was initiated by Audi AG and implemented by Audi Hungaria within factory grounds. The University of Sopron’s Forestry Faculty leads the bioindicator research project.,unknown,urban
Beekeeping Station Bielefeld,"In 2002, the Bielefeld Botanic Garden was expanded with a small apiary for local bees. The apiary serves as a place for breeding bees to support their pollination activities and offers visitors the chance to learn about the importance of bees and the process of honey making. Beekeeping stations were also installed in other surrounding areas.",completed,Bielefeld Botanic Garden,Germany,neighborhood,"['beekeeping', 'environmental education']","['habitat and biodiversity restoration', 'environmental education', 'sustainable consumption and production']",[],"['increased conservation or restoration of ecosystems', 'increased number of species present', 'enhanced support of pollination', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']",The project was developed at the initiative of the NGO 'Friends of the Bielefeld Botanical Graden' with financial support from private governmental bodies and actors in the public sector such as the Langnese company and private donors.,unknown,urban
Bees at the Biology Institute at the University of Białystok,"After local regulations were adapted to allow for keeping apiaries in the city of Białystok, the Institute of Biology at the University of Bialystok put six beehives on its rooftop in 2016. The initiative aims at increasing biodiversity and pollination in the city, promoting beekeeping and sustainable production and consumption patterns. The honey produced is a brand product of the University.",completed,Białystok,Poland,city,"['nature on buildings (external)', 'biodiversity restoration']","['green space, habitats and biodiversity', 'sustainable consumption and production']",[],"['enhanced support of pollination', 'generation of income from nbs', 'increased awareness of nbs and their benefits']","Led by non-government actors, specifically researchers/university",unknown,urban
Bees in Hannover,"The 'Animal Species Aid Program', part of the 'More Nature in the City' project, mapped out the occurrences of wild bees in Hannover, including Leineaue, Alte Bult, and the area of Berggarten and Leibniz University. The program detected 244 wild bees and wasp species in Hannover in 2013/2014. It also provided care instructions tailored to the individual species to protect their habitat.",ongoing,Hannover,Germany,city,"['biodiversity conservation', 'habitat protection']","['habitat and biodiversity conservation', 'green space creation and/or management']",[],"['increased number of protection areas', 'increased conservation or restoration of ecosystems', 'reduced biodiversity loss', 'increased number of species present', 'increased protection of threatened species', 'enhanced support of pollination']","The city of Hannover initiated the program, which is run in different locations of the city with the support of public institutions such as Berggarten and Leibniz Universität, which help in the mapping of wild bees and development of the protection measures.",unknown,urban
Bees on the rooftops of Cracow,"The project, known as 'The Apiary of Kraków', involves establishing beehives on the rooftops of various institutions in Cracow. The aim is to provide habitat for bees, protect biodiversity, support urban pollination, and increase social awareness on the topic. The initiative is led by the local administration and aims to promote Cracow as a pro-ecological city.",ongoing,Kraków,Poland,city,"['urban habitats', 'biodiversity conservation', 'urban pollination']","['habitat and biodiversity conservation', 'sustainable consumption and production', 'knowledge creation and awareness raising']",[],"['increased conservation or restoration of ecosystems', 'increased number of species present', 'increased protection of threatened species', 'enhanced support of pollination', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']","Co-governance with government and non-government actors. The project was initiated by the local government/municipality, private sector/corporate actor/company, and researchers/university. The citizens also got involved in the educational workshops.",unknown,urban
Beigua: urgent interventions for priority grasslands,The BEIGUA LIFE Project focused on the development and implementation of six management plans to safeguard and restore endangered habitats located right outside of Genova. Activities included soil rehabilitation through planting native species and controlling invasive plant species. The project also involved an awareness raising campaign to involve local communities.,completed,Genova,Italy,regional,"['soil rehabilitation', 'native species planting', 'invasive species control', 'awareness raising']","['habitat endangerment', 'soil degradation', 'invasive species']",[],"['increased conservation or restoration of ecosystems', 'reduced biodiversity loss', 'increased number of species present', 'increased protection of threatened species', 'improved prevention or control of invasive alien species']",The Italian League for the Protection of Birds (LIPU) in partnership with Ente Parco Beigua-IT,unknown,unknown
Beijing Plain Area Afforestation Programme (BPAP),"To mitigate environmental pressures, including air pollution and urban heat island effects and to improve urban resilience, the municipal government in Beijing launched the largest afforestation Programme in 2012, Beijing Plain Area Afforestation Programme (BPAP). The aim was to create huge forest patches, develop urban forest park clusters and optimise the large-scale forest patterns. More than 70,000 hectares of forest (more than 54 million trees) have been planted, and the survival rate has exceeded 95%.",completed,Beijing,China,regional,"['afforestation', 'urban forest park clusters', 'large-scale forest patterns', 'green strategies', 'green wedges', 'green belts', 'green corridors']","['air pollution', 'urban heat island effects', 'urban resilience']",['recreation facilities'],"['lowered local temperature', 'enhanced carbon sequestration', 'improved air quality', 'improved protection against strong wind', 'increased green space area', 'reduced biodiversity loss', 'increased number of species present', 'improved social cohesion', 'improved access to urban green space', 'increased involvement of locals in the management of green spaces', 'gain in activities for recreation and exercise', 'improvement in people’s connection to nature', 'increased knowledge of locals about local nature']","The project was led by Beijing City, but research institutions and private companies have also implemented the project in detail. Governing authorities: Beijing City - Capital Greening Office, Beijing Gardening and Greening Bureau. Associations: Beijing Municipal Commission of Planning and Natural Resources; Sciences and technology associations (e.g. education and cultural), cultural, and sports, non-government actors (e.g. project contractors, seedling nursery developers, NGO/volunteers, farmers, previous land contractors, scholars and social media). Public/private institutions: Office of Planning and Development, Office of Voluntary Tree Planting (under the framework of Capital Greening Office); Municipalities of local districts (e.g District Gardening and Greening Bureaus); Research institutes or universities that have be involved in this project (e.g. Beijing Forestry University, Research Institute of Forestry Chinese Academy of Forestry). Park planner and authorities: Beijing Beilin Landscape Architecture institute co. (private company). Technicians for park maintenance/monitoring and to educate and support citizens: Office of Park Management (technicians, administrative personnel, and workers); Environmental Education Department.",unknown,urban
Bela Vista Park Reforestation,"The reforestation project at Bela Vista Park in Lisbon is a collaborative effort by the MEO Kalorama music festival, the Lisbon City Council, and Quercus (local NGO). The project began with the planting of 80 native trees, with the goal to plant a total of 1,000 trees. The project aims to improve the park's biodiversity, enhance carbon absorption, and support local wildlife. The tree species were chosen for their suitability to the local climate and their ability to integrate with existing vegetation.",completed,Bela Vista Park,Portugal,neighborhood,"['urban reforestation', 'restoration of street trees']","['biodiversity loss', 'carbon absorption', 'water management']",[],"['enhanced carbon sequestration', 'reduced risk of damages by drought', 'increased green space area', 'reduced biodiversity loss']","The project is led by the MEO Kalorama festival and in partnership with the Lisbon City Council and Quercus, a national environmental organization. The Lisbon City Council provides support and oversight, ensuring alignment with city-wide environmental goals, while Quercus contributes expertise in selecting native tree species and ensuring ecological sustainability.",unknown,urban
Belt Line Center PACE-funded Green Roof,"The Belt Line Center building in Detroit, Michigan, features a green-blue roof and a rain garden, showcasing the benefits of green infrastructure in historic properties. The project began in 2020 after securing PACE funding and includes features that enhance stormwater management, energy efficiency, and roof longevity. The project aligns with the city’s broader sustainability goals, including the Beltline Greenway initiative.",completed,"Detroit, Michigan",United States,city,"['green roofs', 'rain gardens', 'sustainable urban drainage systems']","['urban flooding', 'biodiversity loss', 'energy efficiency']",[],"['lowered local temperature', 'reduced emissions', 'improved air quality', 'improved stormwater management', 'increased green space area', 'enhanced support of pollination']","The project was initiated by Letts Industries and funded by CounterpointeSRE. The Detroit Water and Sewerage Department supported the project through a grant and drainage fee reductions. Inhabitect was responsible for designing and building the green roof and stormwater features, while Environmental Consulting and Technology, Inc. provided ecological and landscape design services.",unknown,urban
Belvedere College Urban Farm,"The Belvedere College Urban Farm is a school-based business run by students and the Urban Farm start-up. The project includes a greenhouse and an open farm on the rooftop of Belvedere College. It serves as a testing ground for researching sustainable farming practices, provides education and practical experience to students, and is part of a collaborative food network in the local area.",completed,Belvedere College,Ireland,site,"['urban farming', 'green roofs', 'community gardens and allotments', 'sustainable farming practices']","['water management', 'green space creation and/or management', 'air quality improvement', 'environmental education', 'sustainable production']",['improved air quality'],"['lowered local temperature', 'improved air quality', 'improved stormwater management', 'increased green space area', 'reduced biodiversity loss', 'increase in agricultural production', 'generation of income from nbs', 'increased access to healthy/affordable food', 'increased sustainability of agriculture practices', 'improved mental health', 'increased support for education and scientific research', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']","The farm is run by students from Belvedere College together with people from the Urban Farm project. Other organizations have also supported the planning, design, and implementation of the Belvedere College farm by providing free services and goods.",unknown,urban
Belvoirpark,"The Belvoirpark project was a transformation of the park area to make it more green from 2004 – 2015. The project aimed to revive the park, protect habitats, increase aesthetics, and introduce 21st-century facilities. The project was a collaboration among Gastrosuisse Zurich, VOGT Architect, and Stadt Zurich.",completed,Belvoirpark,Switzerland,neighborhood,"['parks and urban forests', 'large urban parks or forests', 'green space creation and/or management']","['green space', 'habitats and biodiversity', 'environmental quality', 'health and well-being']",['enabling opportunities for physical activity'],"['lowered local temperature', 'reduced biodiversity loss', 'increased opportunities for social interaction', 'protection of natural heritage', 'protection of historic and cultural landscape / infrastructure']","The project was a collaboration among Gastrosuisse Zurich: association connected with Belvoirpark, VOGT Architect, and Stadt Zurich: leader of the project.",unknown,urban
Ben Rhydding Gravel Pits LNR,"The Ben Rhydding Gravel Pits Nature Reserve is a project aimed at promoting the conservation, creation, and management of all-natural history aspects of the Reserve. The project also aims to progress the restoration of the habitat zones of the Reserve, encourage an appreciation of the natural history value of the site, and develop a variety of wildflower. The reserve is owned by Bradford Council and managed by Wharfedale Naturalists Society volunteers.",completed,Ilkley,United Kingdom,neighborhood,"['biodiversity conservation', 'biodiversity restoration', 'habitat restoration', 'green space creation']","['habitat and biodiversity restoration', 'habitat and biodiversity conservation', 'green space creation and/or management', 'environmental education', 'social interaction', 'creation of opportunities for recreation']",[],"['improved water quality', 'increased green space area', 'reduced biodiversity loss', 'increased number of species present', 'improved prevention or control of invasive alien species', 'improved access to urban green space', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces', 'increased knowledge of locals about local nature']",The Ben Rhydding Gravel Pits Reserve is managed by the Wharfedale Naturalists Society (WNS) in partnership with City of Bradford Metropolitan District Council (CBMDC),unknown,urban
Benacantil vegetation restoration project,"The project, proposed by the Municipal Technical Service of Parks and Gardens at the Department of the Environment, aims at the regeneration of the forest with the repopulation of pines of different ages, to imitate a mountain in a natural state. It includes the plantation of the Cartagena Cypress and Tetraclinex articulata, and the construction of two viewpoints. A new irrigation system is put in place for the re-use of water for sustainable use and water savings.",ongoing,Alicante,Spain,neighborhood,"['urban forests', 'vegetation restoration', 'water management', 'biodiversity restoration', 'green space creation and/or management']","['water management', 'habitat and biodiversity restoration', 'green space creation and/or management', 'regeneration, land-use and urban development']","['physical activity', 'recreation']","['enhanced carbon sequestration', 'increased conservation or restoration of ecosystems', 'increase in protected green space areas', 'reduced biodiversity loss', 'increased number of species present', 'increased ecological connectivity across regeneration sites and scales', 'more sustainable tourism', 'improved liveability', 'improved access to urban green space', 'improved physical health', 'gain in activities for recreation and exercise', 'improvement in people’s connection to nature', 'protection of historic and cultural landscape / infrastructure', 'increased sense of place identity, memory and belonging', 'increased awareness of flora and fauna as culturally and historically meaningful', 'increased appreciation for natural spaces', 'increased support for education and scientific research', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']",The Alicante municipality is conducting the restoration and improvement of the forest. The civil society and citizens are key stakeholders since they contribute and benefit from the main goals of the project.,unknown,urban
Benchakitti Forest Park,"Benchakitti Forest Park was created as an extension of the existing Benchakitti Water Park in Bangkok, Thailand. The park was built in an old Thai Tobacco Factory area with the aim to bring the forest into the city and support urban biodiversity while offering leisure activities. The park features constructed wetlands, nature learning and exercise trails, a learning centre, an urban farming area and multipurpose open space. The project also involves the renovation of buildings into museums and the creation of an urban farm.",ongoing,Bangkok,Thailand,neighborhood,"['constructed wetlands', 'nature learning and exercise trails', 'urban farming', 'green public spaces', 'surface water management', 'sustainable construction and design', 'agroforestry', 'recreation and social interaction spaces', 'industrial area transformation']","['habitat and biodiversity restoration', 'green space creation and management', 'conversion of former industrial areas', 'flood protection', 'stormwater and rainfall management', 'physical activity promotion', 'recreation creation', 'social interaction', 'environmental education', 'sustainable production']","['opportunities for physical activity', 'recreation opportunities']","['creation of new green areas', 'maintenance and management of urban nature', 'creation of semi-natural blue areas', 'knowledge creation and awareness raising']","The Treasury Department, under the Ministry of Finance, is the land owner and is mainly responsible for project delivery. The Thai Tobacco Authority is the main founder of the project. The Royal Thai Army is the constructor, and the Arsomsilp Community and Environmental Architect are responsible for all main architecture and landscape architecture design and planning. After the project was completed, the park was handed over to Bangkok Metropolitan Administration.",unknown,urban
Bercsényi grove and its surroundings,"Bercsényi grove, a large public park, was rehabilitated and functionally extended as part of the socially sensitive urban regeneration project of Győr-Újváros, a stigmatized, relatively underdeveloped area. The project included the creation of a recreational park, a sports park, and a 'traffic park'. The intervention also included the rehabilitation of the green areas and the plantation of several tree lines.",completed,Győr-Újváros,Hungary,neighborhood,"['urban forests', 'parks', 'green playgrounds', 'street vegetation']","['green space creation and/or management', 'social cohesion', 'enabling opportunities for physical activity', 'recreation']",['opportunities for recreation and exercise'],"['restoration of derelict areas', 'stimulate development in deprived areas', 'improved access to urban green space', 'increased opportunities for social interaction']","The project was initiated and led by the municipality of Győr. The funding came partly from the EU through the Nyugat-Dunantul Operational Program, partly from the municipality's budget.",unknown,urban
Bernetal Green Corridor,The Green Corridor Bernetal is being developed on the site of the former sewerage system to link the downtown of Essen with the districts of Altenessen and Freiräumen in the North of the city. New green and blue infrastructure will be introduced along the modernized way available also for pedestrians and cyclists. The project is developed along with the city policy towards environmental regeneration of the Emscher region.,ongoing,Essen,Germany,neighborhood,"['green corridors and green belts', 'blue infrastructure', 'sustainable urban drainage systems']","['climate change adaptation', 'water management', 'stormwater and rainfall management and storage', 'green space creation and/or management', 'waste management', 'regeneration, land-use and urban development']",[],"['improved waste management', 'improved water quality', 'improved stormwater management', 'increased green space area', 'increased ecological connectivity across regeneration sites and scales']","The program 'ESSEN.Neue Weg zum Wasser' is a project of the Essen Consensus. All work is carried out as a municipal labor market policy project for employment, qualification and integration of the unemployed into the labor market. This takes place under professional guidance and in close cooperation between Grün and Gruga Essen and Arbeit & Bildung Essen GmbH (ABEG). Partners and companies from the region are also involved in the work on a project basis.",unknown,urban
Beta-Promenade,"The Beta-Promenade project in Tallinn, Estonia, involved the creation of a public footpath along the seaside by removing fences, opening gates, and fortifying the shore. The project aimed to improve people's well-being, maintain and increase natural diversity, and create recreational opportunities. The project was implemented by Estonian Urban Lab or Estonian Linnalabor in cooperation with various landowners and the Northern Tallinn City Administration.",completed,Tallinn,Estonia,neighborhood,"['parks and urban forests', 'pocket parks/neighbourhood green spaces', 'blue infrastructure', 'coastlines']","['green space creation and/or management', 'social justice, cohesion and equity', 'health and well-being']","['improving physical health', 'creation of opportunities for recreation']","['increased green space area', 'restoration of derelict areas', 'more sustainable tourism', 'improved access to urban green space', 'increased opportunities for social interaction', 'increased involvement of locals in the management of green spaces', 'improved physical health', 'improved mental health', 'gain in activities for recreation and exercise']","Co-governance with government and non-government actors. The project was implemented by Estonian Urban Lab or Estonian Linnalabor in cooperation with the landowners (Noblessner, State Real Estate Ltd, OÜ BMG Arendused, Pro Kapital Estonia Ltd), AS Tallinna Vesi and the Northern Tallinn City Administration.",unknown,urban
Bethune Elementary School Tree Planting,"In 2023, volunteers from Bethune Elementary School planted 33 trees on the school grounds to provide future shade and help cool the environment. The project was funded by Arizona’s Public Service (APS) Community Tree Program, which aims to reduce the urban heat island effect by increasing tree canopy coverage in vulnerable communities. The initiative was driven by Trees Matter, a local nonprofit organization focused on enhancing tree infrastructure in schools while educating students and staff on the importance of trees and tree care.",completed,Bethune Elementary School,United States,site,"['urban tree cover', 'community tree program', 'environmental education']","['urban heat island effect', 'climate change', 'lack of connection to nature']","['improved physical health', 'sense of community and community engagement']","['lowered local temperature', 'enhanced carbon sequestration', 'increased number of species present', 'generation of other type of work opportunities', 'gain in activities for recreation and exercise', 'increased support for education and scientific research']","Trees Matter, a non-governmental organization (NGO), played a central role in implementing the project. They worked closely with schools and local communities to identify suitable locations, select appropriate tree species, and coordinate the planting efforts, ensuring the project met environmental and educational goals. Arizona Public Service (APS), a utility company, provided significant support through grant funding and program resources. Bethune Elementary School itself also played an essential role in the project.",unknown,urban
Bicycle parking space with green grass roof,"Architect Santiago Calatrava is planning to create a grass-topped office block in Zurich with public parking for 1000 bicycles. The project aims to encourage bicycle use, improve pedestrian connection to the Stadelhofen Station, increase urban green space, and provide habitat for some species. The project is led by AXA on behalf of the City of Zurich.",planned,"Stadelhofen Station, Zurich",Switzerland,city,"['green roofs', 'green parking lots', 'bicycle infrastructure']","['climate change mitigation', 'green space creation', 'habitat and biodiversity restoration']",[],"['lowered local temperature', 'enhanced carbon sequestration', 'increased green space area', 'reduced biodiversity loss', 'increased number of species present']","On behalf of the City of Zurich, AXA is leading the project with the architect Santiago Calatrava",unknown,urban
Bidston Moss project,"The Bidston Moss project transformed a former landfill site into a community woodland. The project started in 2006 and included new features and landscape enhancements. The project aimed to deliver social, economic, and environmental needs for inner Wirral. Activities included the renovation of a fishing lake, addition of a footbridge, and the creation of a living structure of willow trees known as the Green Billboard.",completed,"Bidston Moss, Birkenhead, Wirral",United Kingdom,neighborhood,"['parks and urban forests', 'blue infrastructure', 'habitat and biodiversity restoration', 'green space creation and/or management', 'conversion of former industrial areas', 'creation of new green areas', 'ecological restoration of ecosystems']","['green space, habitats and biodiversity', 'regeneration, land-use and urban development', 'social justice, cohesion and equity', 'health and well-being', 'economic development and employment']","['improved physical health', 'improved mental health']","['improved waste management', 'improved soil quality', 'increased green space area', 'increased conversion of degraded land or soil', 'restoration of derelict areas', 'stimulate development in deprived areas', 'increased perception of safety', 'improved social cohesion', 'gain in activities for recreation and exercise', 'increased knowledge of locals about local nature', 'increased awareness of nbs and their benefits']","The Newlands land regeneration scheme is a Northwest Regional Development Agency (NWDA) initiative. The Forestry Commission is managing Bidston Moss over the long term. The management is in partnership with MWDA (Merseyside Waste Disposal Authority), Groundwork Wirral, The Mersey Forest and Wirral Council.",unknown,urban
Bilbao Roof Top Community Garden,"The project focused on the creation of a rooftop community garden in Bilbao, aiming to educate residents on how to grow vegetables and eat healthily. It also offered free practice hours for individuals wanting to have their own plot. The project was initiated by Bilbao's Center of Innovation.",completed,Bilbao,Spain,site,"['community gardens', 'green roofs']","['green space creation and/or management', 'social justice and equity', 'environmental education', 'sustainable consumption and production']","['creation of opportunities for recreation', 'increased access to healthy/affordable food']","['increased green space area', 'improved social cohesion', 'increased visibility and opportunity for marginalised groups', 'increased opportunities for social interaction', 'gain in activities for recreation and exercise', 'increased awareness of nbs and their benefits']",The initiative has been developed through the collaboration of the Eutokia Innovation Center and the Peñascal Foundation. Tejados y Fachadas Singulares [Singular Roofs and Facades] and Zurtek also participated in the project.,unknown,urban
