title,summary,status,location_name,country,scale,solution_types,challenges_addressed,health_linkages_primary,impacts,governance,url_source,environmental_context,processed_date
Tiszatarján: Fenntartható Gazdálkodás És Vízvisszatartás Az Ártéren a Klímaalkalmazkodás Érdekében,"The project aims to increase the flood absorption capacity of the floodplain and the degree of water retention in Tiszatarján, a settlement highly exposed to water. The project involves the creation of a new shallow water body and the connection of existing water bodies. The project also promotes ecotourism through the creation of a nature trail.",in-progress,Tiszatarján,Hungary,city,"['water retention', 'ecotourism']","['climate change', 'floods', 'droughts']",[],"['improved water retention', 'increased biodiversity', 'enhanced ecotourism']","The project is led by the Ministry of Interior with partners including the Association of Climate-Friendly Municipalities, the National Water Directorate, the WWF Hungary Foundation, Pannon Pro Innovation Services Ltd., and the municipalities of Bátya, Püspökszilágy, Rákócziújfalu, Ruzsa, Tiszatarján.",https://oppla.eu/team-hub/case-study/tiszatarjan-fenntarthato-gazdalkodas-es-vizvisszatartas-az-arteren-klimaalkalmazkodas,wetland,2025-09-14 11:24:10
Rákócziújfalu: Természetközeli belvíz-visszatartás a szárazság mérsékléséért,"The project aims to mitigate drought through natural inland water retention in Rákócziújfalu, Hungary. It involves the transformation of an irrigation canal into a water reservoir and the creation of a new inland water reservoir. The project also aims to increase biodiversity, improve the local microclimate, and raise the local groundwater level.",completed,Rákócziújfalu,Hungary,city,"['water retention', 'biodiversity increase', 'microclimate improvement']","['drought', 'heatwaves', 'heavy rainfall']",[],"['improved local climate', 'increased biodiversity', 'creation of a popular recreational spot']","The project was implemented under the leadership of the Ministry of Interior, with partners including the Association of Climate-Friendly Municipalities, the National Water Directorate, the WWF Hungary Foundation, Pannon Pro Innovation Services Ltd., and the municipalities of Bátya, Püspökszilágy, Rákócziújfalu, Ruzsa, Tiszatarján.",https://oppla.eu/team-hub/case-study/rakocziujfalu-termeszetkozeli-belviz-visszatartas-szarazsag-mersekleseert,urban,2025-09-14 11:24:10
Bátya: A belterületi csapadékesemények kezelése többmedencés csapadékvíz táplálta vizes élőhelyen történő vízvisszatartással,"The project in Bátya, Hungary, involves the creation of a rainwater-fed wetland to manage urban precipitation events and adapt to climate change risks such as heatwaves, droughts, and extreme precipitation events. The project includes the restoration of an abandoned quarry as a rainwater reservoir, the planting of 600 native tree seedlings, and the creation of recreational facilities. The project aims to balance the hydrological cycle, mitigate climate change impacts, enhance biodiversity, and provide recreational benefits to the local community.",completed,Bátya,Hungary,city,"['urban wetlands', 'native vegetation restoration', 'recreation']","['heatwaves', 'droughts', 'extreme precipitation events']",[],"['mitigation of climate change impacts', 'enhancement of biodiversity', 'improvement of local recreation']","The project was implemented under the leadership of the Ministry of Interior (as Coordinating Beneficiary) with partners including the Association of Climate-Friendly Municipalities, the National Water Directorate, the WWF Hungary Foundation, Pannon Pro Innovation Services Ltd., and the municipalities of Bátya, Püspökszilágy, Rákócziújfalu, Ruzsa, Tiszatarján.",https://oppla.eu/team-hub/case-study/batya-belteruleti-csapadekesemenyek-kezelese-tobbmedences-csapadekviz-taplalta-vizes,urban,2025-09-14 11:24:10
The First Large Land-Restoration Initiative in the Faroe Islands,"As part of Tjóðsavnið (the Faroe Islands National Museum), Lendisbati initiative aims to prevent erosion, protect biodiversity and restore wetlands for carbon storage. The first Lendisbati restoration project is funded by the Nordic Council of Ministers programme and will lay the foundation for future restoration initiatives in the Faroe Islands.",unknown,Faroe Islands,Faroe Islands,unknown,"['erosion prevention', 'biodiversity protection', 'wetlands restoration', 'carbon storage']","['erosion', 'biodiversity loss']",[],"['increase in biodiversity', 'increase in carbon sequestration and storage', ""increase in community's sense of ownership"", 'increase in social interaction', 'social inclusion', 'social learning about location & importance of nbs']",Tjóðsavnið,https://oppla.eu/nordic-hub/case-study/first-large-land-restoration-initiative-faroe-islands,unknown,2025-09-14 11:24:10
Eső- és szürkevíz hasznosítás a Zuglói Hétszínvirág Óvodában,"The project demonstrates circular water use through rainwater collection and greywater recycling at the Hétszínvirág Kindergarten in Zugló, Budapest. The collected rainwater and greywater are filtered through a natural filter system and stored in two tanks with a total capacity of 14m3. The purified water is used for flushing the 8 toilets in the kindergarten and for watering the garden.",in-progress,"Zugló, Budapest",Hungary,site,"['rainwater collection', 'greywater recycling']","['water management', 'climate change adaptation']",[],"['reduced tap water consumption', 'reduced sewage production', 'cost reduction due to lower water usage']","The demonstration was implemented under the leadership of Zugló XIV. district Municipality, with the participation of the Metropolitan Sewerage Works Ltd. as a project partner and the Zuglói Hétszínvirág Kindergarten as the location.",https://oppla.eu/team-hub/case-study/eso-es-szurkeviz-hasznositas-zugloi-hetszinvirag-ovodaban,urban,2025-09-14 11:24:10
Floating Wetland System on Utö,"The Nature-Based Solutions in the Nordic region programme is financing a pilot project in Sweden to implement and test a floating system for wetlands to remove excess phosphorus from seawater. The project, initiated by Initiative Utö in collaboration with the KTH Royal Institute of Technology (Sweden) and alchemia-nova (Austria), involves design, testing, and installation of the system as well as observation of efficiency and effects.",unknown,Utö,Sweden,unknown,"['floating wetlands', 'phosphorus removal']","['excess phosphorus in seawater', 'negative environmental impacts from phosphorus']",[],"['improved conditions for humans, animals, and other living organisms', 'increasing marine biodiversity', 'cleaner water', 'reduced greenhouse gas (ghg) emissions']","Initiative Utö, KTH Royal Institute of Technology (Sweden) and alchemia-nova (Austria)",https://oppla.eu/nordic-hub/case-study/floating-wetland-system-uto,coastal,2025-09-14 11:24:10
ProGIreg Info Center,"The ProGIreg Info Center, located in the neighborhood of Sesvete, was created as a community center for open discussion and knowledge sharing. The center was implemented within the ProGIreg project, with the aim of promoting sustainable development, nature-based solutions, and green infrastructure. The center has hosted various activities and events, contributing to the revitalization and improvement of living standards in the area.",unknown,Sesvete,unknown,neighborhood,"['community center', 'sustainable development', 'nature-based solutions', 'green infrastructure']","['marginalized post-industrial area', 'lack of community involvement and participation']",[],"['positive image of the area', 'optimistic vision of area development', 'revitalization and improvement of living standards']",NGO ZIPS (Green and Blue Sesvete),https://oppla.eu/progireg/case-study/progireg-info-center,urban,2025-09-14 11:24:10
Püspökszilágy: Alkalmazkodás a klímaváltozáshoz lefolyás-lassítással és vízvisszatartáson alapuló árvízi védekezéssel,"The project in Püspökszilágy aims to address the issues of flash floods and droughts through nature-based solutions. It involves the creation of small-scale water retention solutions such as a reservoir and log dam, which contribute to soil water level stabilization, biodiversity preservation and development, and recreation opportunities. The project also aims to mitigate the effects of climate change.",completed,Püspökszilágy,Hungary,site,"['water retention solutions', 'reservoir', 'log dam']","['flash floods', 'droughts', 'climate change']",[],"['soil water level stabilization', 'biodiversity preservation and development', 'recreation opportunities']","The project was realized under the coordination of the Ministry of Interior's Municipal Coordination Office. Other partners included the Association of Climate-Friendly Settlements, the National Water Directorate, the WWF Hungary Foundation, Pannon Pro Innovation Service Ltd., and the municipalities of Püspökszilágy, Bátya, Rákócziújfalu, Tiszatarján, Ruzsa.",https://oppla.eu/team-hub/case-study/puspokszilagy-alkalmazkodas-klimavaltozashoz-lefolyas-lassitassal-es-vizvisszatartason,unknown,2025-09-14 11:24:10
"Urban forests and promotion of native ecosystems in São Paulo, Brazil","The project aims to restore and reintroduce native ecosystems in São Paulo, Brazil, which have been significantly affected by urban expansion and biodiversity loss. Various groups are working to increase biodiversity and tree cover in the city by planting small forest patches, known as pocket forests. The project also involves the creation of rain gardens for more effective water percolation in the soil.",ongoing,São Paulo,Brazil,city,"['urban forests', 'native ecosystems restoration', 'pocket forests', 'rain gardens']","['biodiversity loss', 'urban heat', 'flooding']","['increase well-being', 'social inclusion', 'social learning about location & importance of nbs']","['improve water quality', 'increase amount of green open spaces for residents', 'increase accessibility to green open spaces', 'increase biodiversity', 'reduce run-off', 'increase infiltration / water storage']","Prefeitura Municipal do Rio de Janeiro, Universidade Federal do Rio de Janeiro, local activism and national institutions",https://oppla.eu/conexus/case-study/urban-forests-and-promotion-native-ecosystems-sao-paulo-brazil,urban,2025-09-14 11:24:10
"Nature-based solutions for improving well-being in urban areas in Sheffield, United Kingdom","The project involves implementing a series of spatial green infrastructure strategies and socio-ecologically informed plans in Sheffield. These include the Sheffield City Centre Breathing Spaces Strategy, South Yorkshire GI Strategy, Sheffield Waterways Strategy and Action Plan, and Sheffield City Region (SCR) Sustainable Urban Development (SUD) Strategy. The project aims to deliver direct benefits for people (mental health, community cohesion), alongside other invaluable environmental benefits (biodiversity provision; climate change mitigation and adaptation).",unknown,Sheffield,United Kingdom,city,"['green infrastructure', 'urban forestry', 'natural flood management', 'sustainable drainage', 'urban tree planting', 'cyclepaths and walkways', 'landscape improvements']","['urbanisation', 'environmental quality degradation', 'urban flood risks', 'oversupply of brownfield land']","['improved mental health', 'community cohesion']","['improved water quality', 'increased amount of green open spaces for residents', 'increased biodiversity', 'increased quality and quantity of green and blue infrastructures', 'greater ecological connectivity across urban regenerated sites', 'increased awareness of nbs solution & their effectiveness and co benefits', 'increased willingness to invest in nbs', 'reduced flood risk']",Sheffield City Council,https://oppla.eu/conexus/case-study/nature-based-solutions-improving-well-being-urban-areas-sheffield-united-kingdom,urban,2025-09-14 11:24:10
The Santiago Green Infrastructure Plan: towards a green infrastructure system,"Developing a green infrastructure plan in Santiago as a shared territorial strategy and a means of unifying different stakeholders relevant for decision making and implementation at different spatial scales. This was achieved through a participatory approach including multiple stakeholders, workshops, and collective mapping sessions. The main challenges for urban green infrastructure development in Santiago were the extreme sectoral fragmentation and the lack of coordination among public institutions.",unknown,Santiago de Chile,Chile,city,"['green infrastructure', 'participatory planning', 'governance plan for green spaces']","['sectoral fragmentation', 'lack of coordination among public institutions', 'social segregation', 'low cover and unequal distribution of green spaces', 'disconnected city for mobility and flora and fauna dispersion and movement', 'city at risk from increasing climate, volcanoes, and earthquake events', 'pollution', 'inequality of urban green spaces distribution']","['increased population & infrastructures protected by nbs', 'increased amount of green open spaces for residents', 'increased accessibility to green open spaces', 'social inclusion', 'increased stakeholder awareness & knowledge about nbs']","['increased population & infrastructures protected by nbs', 'increased amount of green open spaces for residents', 'increased accessibility to green open spaces', 'changing image of the urban environment', 'increased communities’ sense of ownership', 'social inclusion', 'increased stakeholder awareness & knowledge about nbs', 'improved connectivity and functionality of green and blue infrastructures']","Ministry for housing and urbanism of Chile, Santiago Municipality, STGO+, The Grupo Paisaje-FAU (University of Chile), The Ministry for Housing and Urbanism, The Regional Ministerial Secretariat of the Ministry for Housing and Urbanism",https://oppla.eu/conexus/case-study/santiago-green-infrastructure-plan-towards-green-infrastructure-system,urban,2025-09-14 11:24:10
"Green roofs in the slums of Rio de Janeiro, Brazil","The project aims to control and mitigate the heat island effect in Arará slum, northern Rio de Janeiro, through the development and monitoring of green roofs. Succulents, herbs, and small shrubs, mostly epiphytes or lithophytes, were planted on these roofs. The successful performance of the planted species resulted in effective thermal insulation and a constant, average 40% lower temperature than the surrounding regular roofs.",unknown,"Arará slum, northern Rio de Janeiro",Brazil,neighborhood,['green roofs'],"['heat island effect', 'lack of green spaces']","['reduced heat stress', 'improved well-being']","['40% lower temperature than surrounding regular roofs', 'improved well-being in local communities', 'reduced heat island effect', 'decreased temperature in the slum urbanization', 'reduced pressure of health issues such as cardiovascular diseases']","Prefeitura Municipal do Rio de Janeiro, Universidade Federal do Rio de Janeiro",https://oppla.eu/conexus/case-study/green-roofs-slums-rio-de-janeiro-brazil,urban,2025-09-14 11:24:10
"Heritage zone of Xochimilco: Tlahuac and Milpa alta, Mexico City. The importance of Nature-Based Solutions","The project aims to address social and environmental challenges in Xochimilco, Mexico City, including water-related pollution, flooding, water shortages, and environmental degradation. Solutions include dredging and cleaning of the canals, garbage collection, reforestation, exotic species control, improving hydraulic infrastructure, and implementing nature-based solutions to reduce pollutants and maintain native species and ecosystems.",unknown,Heritage Zone of Xochimilco,Mexico,city,"['dredging and cleaning of the canals', 'garbage collection', 'reforestation', 'exotic species control', 'improving hydraulic infrastructure', 'nature-based solutions']","['water-related pollution', 'flooding', 'water shortages', 'environmental degradation']",['increasing well-being'],"['maintaining biodiversity', 'increasing quality and quantity of green and blue infrastructures', 'improving water quality', 'increasing awareness of nbs solution & their effectiveness and co benefits', 'reducing the load to the sewerage system', 'flood peak reduction', 'reduced drought risk', 'reduced flood risk', 'increasing infiltration / water storage']","Ciudad de Mexico, Xochimilco, Agriculture in Chinampas, Water in Xochimilco, Milpa Alta",https://oppla.eu/conexus/case-study/heritage-zone-xochimilco-tlahuac-and-milpa-alta-mexico-city-importance-nature-based,urban,2025-09-14 11:24:10
Quito: Urban Agriculture as Nature Based Solution for facing Climate Change and Food Sovereignty,"The project aims to tackle climate change, poverty and food provision, by supporting urban gardens on public or private land with community participation. The aims being food security and sovereignty, environmental management, employment and income improvement, social inclusion, sustainability and resilience. AGRUPAR contributes to manage the environmental, economic and social challenges of the city. Quito's urban orchards have a production capacity of 1.",unknown,Quito,Ecuador,city,"['urban agriculture', 'community participation', 'urban gardens']","['climate change', 'poverty', 'food provision']","['food security', 'income improvement', 'social inclusion']","['improvement and availability of healthy food', 'increment of economic opportunities for urban farmers', 'significant changes in consumers’ behavior', 'increase biodiversity', 'increase amount of green open spaces for residents', 'increase communities’ sense of ownership', 'urban regeneration', 'social justice and social cohesion', 'increase wellbeing', 'increase awareness of nbs solution & their effectiveness and co-benefits']",Municipality of Quito and AGRUPAR,https://oppla.eu/conexus/case-study/quito-urban-agriculture-nature-based-solution-facing-climate-change-and-food-sovereignty,urban,2025-09-14 11:24:10
"Socio-ecological urban river restoration to mitigate flood risk, improve recreational potential and provide suitable habitats for fauna and flora: The Isar in Munich, Germany","The project aims to restore the Isar River in Munich, Germany to mitigate flood risk, improve recreational potential, and provide suitable habitats for fauna and flora. The restoration was triggered by concerns over degraded morphological status, unsafe water quality for recreational uses, and inability of the riverbed to contain the 100-year return period within the city. The project involved collaborative planning with various stakeholders and was implemented by the city's Department of Building Construction.",unknown,Munich,Germany,city,"['river restoration', 'nature-based solutions']","['flood risk', 'degraded morphological status', 'unsafe water quality for recreational uses']","['improved water quality', 'increased well-being', 'provision of health benefits']","['increased communities’ sense of ownership and social interaction', 'reduced costs for water treatments', 'improved water quality', 'increased well-being', 'provision of health benefits', 'social inclusion', 'increased social interaction', 'increased stakeholder awareness & knowledge about nbs', 'increased willingness to invest in nbs', 'reduced load to sewer system', 'increased infiltration', 'reduced run-off', 'flood peak reduction', 'reduced drought risk', 'reduced flood risk', 'increased infiltration / water storage', 'reduced risk of damages from drought']",State Office of Water Management and Munich city government,https://oppla.eu/conexus/case-study/socio-ecological-urban-river-restoration-mitigate-flood-risk-improve-recreational,urban,2025-09-14 11:24:10
Multisectoral and multiscale articulation for urban regeneration in Medellín and its Metropolitan Area,"The project aims to improve the urban environment of Medellín and its Metropolitan Area through nature-based interventions. It includes the creation of urban green spaces, the establishment of a metropolitan system of protected areas, and the development of linear parks like Parques del Río. The project also involves the recovery of Cerro Moravia, a former garbage dump, through various environmental and urban innovation actions.",unknown,Medellín and its Metropolitan Area,Colombia,city,"['urban green spaces', 'metropolitan system of protected areas', 'linear parks', 'urban regeneration']","['urban expansion', 'spatial, environmental and social inequalities', 'loss of fertile and agricultural soils', 'fragmentation of urban and peri-urban ecosystems', 'air pollution', 'degradation of soils and water bodies', 'decrease in the provision of ecosystem services']",[],"['maintaining biodiversity', 'increased quality and quantity of green and blue infrastructures', 'improved connectivity and functionality of green and blue infrastructures', 'greater ecological connectivity across urban regenerated sites', 'increased amounts of green open spaces for residents', 'increased sense of ownership and social interaction within communities']",Metropolitan Area of the Aburrá Valley environmental authority (AMVA for its Spanish abbreviation),https://oppla.eu/conexus/case-study/multisectoral-and-multiscale-articulation-urban-regeneration-medellin-and-its,urban,2025-09-14 11:24:10
"City districts as testing grounds: integrated sustainable stormwater solutions through retrofitting in existing neighbourhoods and as part of urban transformation processes in Malmö, Sweden","The project was launched in 1998 in Malmö, Sweden, with the aim of managing stormwater through nature-based green solutions. The project involved the application of green and blue solutions such as open soil drainage, local ponds, overflow areas, green rooftops, and green walls. The project has been successful in regenerating the urban area, with a 20% decrease in tenancies turnover and up to 70% of the total stormwater dealt with locally.",unknown,Malmö,Sweden,city,"['stormwater management', 'open soil drainage', 'local ponds', 'overflow areas', 'green rooftops', 'green walls']","['stormwater management', 'urban regeneration']","['promoting physical activity', 'improving air quality', 'providing recreational activities', 'opportunity for social interactions']","['20% decrease in tenancies turnover', 'up to 70% of the total stormwater dealt with locally']",Malmö Stad City Administration and MKB,https://oppla.eu/conexus/case-study/city-districts-testing-grounds-integrated-sustainable-stormwater-solutions-through,urban,2025-09-14 11:24:10
"Wetland Baquedano Park, City of Llanquihue, Chile","A Green Infrastructure Plan of Llanquihue, which includes the Baquedano Wetland Park, was developed to respond to socio-ecological pressures created by urban living. The project aimed to restore the ecology of the urban ecosystem, integrate social programs in the restoration initiatives, and connect the diversity of wetland patches through a continuous network of public spaces. The project was implemented by Legado Chile Fundation, Landscape Architecture Master Program UC and the Municipality of Llanquihue.",unknown,City of Llanquihue,Chile,city,"['green infrastructure', 'urban ecosystem restoration', 'public spaces']","['urban living pressures', 'ecosystem degradation', 'lack of connectivity']",['improved well-being'],"['maintain biodiversity', 'increase quality and quantity of green and blue infrastructures', 'improve connectivity and functionality of green and blue infrastructures', 'increase amount of green open spaces for residents', 'increase communities’ sense of ownership and social interaction']","Legado Chile Fundation, Landscape Architecture Master Program UC and the Municipality of Llanquihue",https://oppla.eu/conexus/case-study/wetland-baquedano-park-city-llanquihue-chile,urban,2025-09-14 11:24:10
"The Green Corridors Network as the background of a NbS approach in Lisbon, Portugal","The project aims to protect ecological areas in Lisbon from urbanisation by consolidating the green corridors network. The Lisbon Master Plan promotes ecological sustainability, biodiversity and quality of green public space, through a green corridors network to be built in the forthcoming decade (2012/2022). The creation of green corridors in Lisbon provided for larger and more connected areas of intervention, along with the opportunity to implement a comprehensive NbS approach.",ongoing,Lisbon,Portugal,city,"['green corridors', 'urban allotment gardens', 'natural drainage systems', 'rain-fed biodiversity meadows', 'massive tree planting']","['urbanisation', 'climate change', 'flooding', 'heat waves', 'droughts']","['promoting physical and mental wellbeing', 'improved quality of life']","['55ha improvement in soil connectivity (2010-2018)', 'expected increase of 70ha until 2022', 'total targeted increase of 350ha (2008-2022)', 'reducing cost of water treatment', 'increasing quality and quantity of green and blue infrastructures', 'reducing run-off', 'increasing the amount of green open spaces for residents', 'increasing well-being', 'improving connectivity and functionality of green and blue infrastructures', 'greater ecological connectivity across urban regenerated sites', 'reducing load to sewer system', 'increasing infiltration', 'reduced run-off', 'flood peak reduction', 'reducing drought risk', 'reducing flood risk', 'reducing temperature at meso or micro scale', 'increased infiltration / water storage']",Municipality of Lisbon,https://oppla.eu/conexus/case-study/green-corridors-network-background-nbs-approach-lisbon-portugal,urban,2025-09-14 11:24:10
"Nature-Based Solutions as integral and multiscale responses to social and environmental challenges in Lima, Peru","The project aims to manage Lima's water security and climate change challenges through Nature-Based Solutions (NbS). It involves various groups from academia, local governments, private businesses, and NGOs. Three main initiatives are being implemented: Water Security Actions, the Lomas Programme, and the Green Belt of Independencia. These strategies aim to improve water quality, increase well-being, provide health benefits, and increase green open spaces.",in-progress,Lima,Peru,city,"['water security actions', 'lomas programme', 'green belt of independencia']","['water security', 'climate change', 'social and equality challenges']","['improved water quality', 'increased well-being', 'provision of health benefits']","['reduced costs for water treatment', 'improved water quality', 'increased well-being', 'provision of health benefits', 'sustainable development of coastal regions', 'increased amount of green open spaces for residents', 'increased accessibility to green open spaces', 'social inclusion', 'social learning about location & importance of nbs', 'increased stakeholder awareness & knowledge about nbs', 'increased willingness to invest in nbs', 'creation of green jobs relating to construction & maintenance of nbs', 'increased awareness of nbs solution & their effectiveness and co benefits']","A range of different groups from the academy, local governments, private parties and NGOs",https://oppla.eu/conexus/case-study/nature-based-solutions-integral-and-multiscale-responses-social-and-environmental,urban,2025-09-14 11:24:10
Sweet City: Facing Climate Change and Biodiversity Loss in Urban Costa Rica,"The Sweet City program in Curridabat, Costa Rica aims to improve the quality of life for all inhabitants by providing better conditions for humans and other species, such as pollinators. The program seeks to restore the balance between urban and natural areas, preserve and increase biodiversity, and manage climate change. It involves multidisciplinary teams working with communities to design and implement strategies such as water use awareness, waste disposal, and creating safe and accessible paths.",unknown,Curridabat,Costa Rica,city,"['urban green networks', 'ecological design', 'biodiversity preservation']","['climate change', 'biodiversity loss', 'rapid urbanization', 'densification processes']",['improved air quality'],"['increased biodiversity', 'improved air quality', 'increased green open spaces', 'increased community ownership']",Municipality of Curridabat,https://oppla.eu/conexus/case-study/sweet-city-facing-climate-change-and-biodiversity-loss-urban-costa-rica,urban,2025-09-14 11:24:10
Living Fences in Buenos Aires: Improving Quality of Air,The Breathe/Respirar Project (BRP) is an international collaboration aimed at addressing local air quality concerns in Buenos Aires. The project involved a participatory process to identify and enrol stakeholders in a green infrastructure initiative. The design involved planting in three strata to create living fences and improve air quality.,ongoing,Buenos Aires,Argentina,city,"['green infrastructure', 'living fences']",['air pollution'],['improved air quality'],"['increase biodiversity', 'increase quality and quantity of green and blue infrastructures', 'improve air quality', 'changing image of the urban environment', 'increase communities’ sense of ownership']",Locally led by the Landscape Architecture programme at the University of Buenos Aires,https://oppla.eu/conexus/case-study/living-fences-buenos-aires-improving-quality-air,urban,2025-09-14 11:24:10
"Socio-ecological networks: NbS to integrate nature, urban planning and social appropriation in Bogota, Colombia","In response to the social challenges and environmental impacts caused by urban growth, Bogota adopted the incorporation of green and blue infrastructures in several urban planning instruments. The most important action was the implementation of the local concept of Main Ecological Structure (EEP) in 2000. The EEP's purpose is the protection and management of ecological networks that reconcile urban development with the conservation of the structures and functions of ecosystems, as well as their ability to provide ecosystem services.",ongoing,Bogota,Colombia,city,"['green and blue infrastructures', 'main ecological structure (eep)', 'protection and management of ecological networks']","['urban growth', 'environmental impacts', 'loss of essential ecosystem services']","['mental well-being', 'social cohesion']","['enhancing/ conserving urban biodiversity', 'participatory planning and governance', 'climate resilience and risk reduction', 'urban regeneration', 'increasing social cohesion', 'maintaining biodiversity', 'increasing quality and quantity of green and blue infrastructures', 'improving connectivity and functionality of green and blue infrastructures', 'carbon sequestration and storage', 'improving water quality', 'improving air quality', 'reducing run-off', 'flood peak reduction', 'reducing flood risk', 'increasing amount of green open spaces for residents', 'increasing communities’ sense of ownership and social interaction']","The financing and implementation of actions for the protection, restoration and management of those green infrastructures included in the EEP of Bogota, have usually been in charge of institutions of the Mayor's Office of Bogota, such as the District Secretary for the Environment and the Botanical Garden of Bogotá. Additionally, national institutions in charge of biodiversity such as the Alexander von Humboldt Institute and various non-governmental organizations have also developed study and conservation actions on the EEP through projects supported by government and international cooperation funds.",https://oppla.eu/conexus/case-study/socio-ecological-networks-nbs-integrate-nature-urban-planning-and-social-appropriation,urban,2025-09-14 11:24:10
Urban gardens in Barcelona: multifunctional green to enhance Nature-Based Thinking in cities,"The Programme for Enhancing the Urban Green Infrastructure in Barcelona aims to increase the quality and quantity of green infrastructure in the city by 2030. The plan includes the creation of new urban and school gardens, promoting ecological agriculture, and enhancing citizens’ engagement with urban nature. The project also focuses on developing an information system on biodiversity and green infrastructure.",ongoing,Barcelona,Spain,city,"['urban gardens', 'urban green infrastructure planning', 'urban regeneration']","['biodiversity loss', 'urban heat', 'access to healthy and affordable food']","['increased health and well-being', 'accessibility to nature for the most vulnerable']","['increased social cohesion', 'increased quality and quantity of green and blue infrastructures', 'reduced run-off', 'increased amount of green open spaces for residents', 'increased communities’ sense of ownership and social interaction', 'increased well-being', 'provision of health benefits', 'social inclusion']",Barcelona City Council and the Metropolitan Area,https://oppla.eu/conexus/case-study/urban-gardens-barcelona-multifunctional-green-enhance-nature-based-thinking-cities,urban,2025-09-14 11:24:10
"Fushan Ecological Park – Qingdao, Shandong Province, China","The project aims to restore the Fushan mountain environment in Laoshan districts, improve the landscape connectivity, and provide a space for the recreation of citizens. Actions include restoration of quarry and wastelands, reforestation, improvement of water storage and flood management, and building new public infrastructures. The project was launched in 2016 and completed in 2018.",completed,"Laoshan District, Qingdao City",China,city,"['urban forests', 'restoration of quarry and wastelands', 'reforestation', 'improvement of landscape connectivity', 'improvement of water storage and flood management', 'building new public infrastructures']","['urbanisation', 'tourism', 'quarrying', 'illegal buildings', 'real estate', 'hotels', 'sea farming', 'coastline and habitats destruction']","['increased accessibility to green open spaces', 'improved well-being', 'provision of health benefits']","['improved landscape connectivity', 'restored fushan mountain environment', 'increased infiltration / water storage', 'reduced temperature at meso or micro scale', 'carbon sequestration and storage', 'greater ecological connectivity across urban regenerated sites', 'increased biodiversity', 'increased accessibility to green open spaces', 'increased well-being', 'provision of health benefits']","Zhonghan Sub-district Office in Laoshan District, Municipal Public Utilities Bureau in Laoshan District, Jinjialing Ecological Protection and Development Center, Urban and Rural Landscape Planning and Design Institute, China Construction Engineering Design Group Co., Ltd",https://oppla.eu/clearing-house/case-study/fushan-ecological-park-qingdao-shandong-province-china,urban,2025-09-14 11:24:10
"Bois de Vincennes (Vincennes Forest) - Paris, France","Located in the east of Paris, the Bois de Vincennes is an urban park with a mix of landscapes and facilities. The park’s managers preserve and foster biodiversity by creating conditions for the development of certain species and by implementing circular principles in management practices. The park serves as a pollution mitigator, biodiversity enricher, and a recreational and cultural hub.",unknown,Bois de Vincennes,France,city,"['urban park', 'biodiversity preservation', 'circular management practices']","['pollution', 'biodiversity loss', 'urban heat island effects']","['carbon sequestration', 'microclimate regulation']","['carbon sequestration', 'microclimate regulation', 'biodiversity enrichment', 'recreational value', 'aesthetic pleasure', 'sense of place', 'inspiration', 'citizen’s engagement with local green initiatives']",City of Paris,https://oppla.eu/clearing-house/case-study/bois-de-vincennes-vincennes-forest-paris-france,urban,2025-09-14 11:24:10
Aarhus – A City Perspective (REGREEN Urban Living Lab) - Denmark,"The project aims to sustain or increase green area per inhabitant through green blue structure planning in spite of densification. The water supply company of Aarhus Municipality will invest annually 19 MEUR over the next 65 years to reach full separation of rainwater from wastewater using NbS and NbS hybrids to create a flood resilient city. Aarhus Municipality has decided to double the total nature area in the municipality by 2030 and increase the area with forested land by 60% by 2030 to ensure drinking water provision and improve recreation, biodiversity, social habitation and health.",ongoing,Aarhus,Denmark,city,"['green blue structure planning', 'nbs and nbs hybrids', 'urban forests', 'wetlands']","['densification', 'rainwater management', 'flood resilience', 'drinking water provision', 'recreation', 'biodiversity', 'social habitation', 'health']","['improved recreation', 'social habitation', 'health']",[],"Aarhus Municipality, Aarhus Vand (the water utility company), Community fundraising: Growing Trees Network and ‘Plant et træ’ (Plant a tree), City Council in Aarhus, Climate Fond, Green Projects, Lokale- og anlægsfonden, Danish Nature Agency, 15. Juni Fonden (June 15, the foundation), Environmental Protection Agency Agriculture Agency Nature Agency, Urban developers, H2020 RECONECT, H2020 REGREEN",https://oppla.eu/clearing-house/case-study/aarhus-city-perspective-regreen-urban-living-lab-denmark,urban,2025-09-14 11:24:10
Parco Nord Milano – Italy,"Parco Nord Milano (PNM) is a regional park located on the eastern-northern outskirts of Milan, covering 790 ha in a highly urbanised context. The park consists of urban green infrastructure and various natural elements. The park's management focuses on nature-based approaches to attract public benefits and deliver ecosystems services. The park also provides recreation and educational facilities for local residents and visitors.",unknown,Parco Nord Milano,Italy,regional,"['urban green infrastructure', 'urban forest plantations', 'wetlands', 'river corridor', 'allotment gardens', 'agricultural fields', 'forest plantations', 'water retention basins', 'ecological corridors', 'soft mobility plan']","['frequent flooding', 'climate change adaptation']",['health and wellbeing benefits'],"['increased citizen participation', 'improved quality of life']","The Lombardy Region, Associations, Citizens, Municipalities, Public/private institutions, Park planner and authorities, Technicians for park maintenance/monitoring",https://oppla.eu/clearing-house/case-study/parco-nord-milano-italy,urban,2025-09-14 11:24:10
